130603161 || 社會 || 2013/06/04 12:10 || 60122788 || 10.10.200.165/13CHUTNEWS/20130603/s130603161.mp4 || 天梯上百遊客脫困 1男子遭落石砸頭 || 中視 ||
130603162 || 社會 || 2013/06/04 12:10 || 41423693 || 10.10.200.165/13CHUTNEWS/20130603/s130603162.mp4 || 驚險一瞬間! 全家溪谷戲水目擊走山 || 中視 ||
130603163 || 社會 || 2013/06/04 12:10 || 51811136 || 10.10.200.165/13CHUTNEWS/20130603/s130603163.mp4 || 南投強震4死! 失蹤釣客遺體尋獲 || 中視 ||
130603164 || 科技 || 2013/06/04 13:07 || 49474006 || 10.10.200.165/13CHUTNEWS/20130603/s130603164.mp4 || 鴻海大轉型牽火狐 燃燒新科技時代 || 中視 ||
130603165 || 社會 || 2013/06/04 13:07 || 45316476 || 10.10.200.165/13CHUTNEWS/20130603/s130603165.mp4 || 柳絮紛飛 松山高中畢業下雪了! || 中視 ||
130603166 || 科技 || 2013/06/04 13:07 || 35773548 || 10.10.200.165/13CHUTNEWS/20130603/s130603166.mp4 || 根治B肝有望 新藥最快10年後上市 || 中視 ||
130603201 || 社會 || 2013/06/04 18:13 || 146248452 || 10.10.200.165/13CHUTNEWS/20130603/s130603201.mp4 || 習近平會見一些加勒比國家領導人 || 央視 ||
130603202 || 社會 || 2013/06/04 18:13 || 21005450 || 10.10.200.165/13CHUTNEWS/20130603/s130603202.mp4 || 敘國家電視台公布政府繳穫的"毒氣瓶"畫面 || 央視 ||
130603203 || 社會 || 2013/06/04 18:13 || 16253868 || 10.10.200.165/13CHUTNEWS/20130603/s130603203.mp4 || 第31屆俄歐峰會今起在俄舉行 || 央視 ||
130603204 || 社會 || 2013/06/04 18:13 || 21403921 || 10.10.200.165/13CHUTNEWS/20130603/s130603204.mp4 || 英國議會再爆"游說門"丑聞 || 央視 ||
130603205 || 社會 || 2013/06/04 18:13 || 18673353 || 10.10.200.165/13CHUTNEWS/20130603/s130603205.mp4 || 中國5月份非制造業採購經理指數公布 || 央視 ||
