<body>
<pre>民視新聞台-公司網路,mms://dtv.iptv.tw-airnet.net/S-195
民視無線台-公司網路,mms://dtv.iptv.tw-airnet.net/S-FTV
央視 4 國際頻道-公司網路,mms://dtv.iptv.tw-airnet.net/S-196
央視 9 英語頻道-公司網路,mms://dtv.iptv.tw-airnet.net/S-197
央視 戲曲頻道-公司網路,mms://dtv.iptv.tw-airnet.net/S-198
江蘇電視-公司網路,mms://dtv.iptv.tw-airnet.net/S-201
湖南衛視-公司網路,mms://dtv.iptv.tw-airnet.net/S-202
北京電視-公司網路,mms://dtv.iptv.tw-airnet.net/S-199
上海東方衛視-公司網路,mms://dtv.iptv.tw-airnet.net/S-200
廈門衛視-公司網路,mms://dtv.iptv.tw-airnet.net/S-203
廣東南方-公司網路,mms://dtv.iptv.tw-airnet.net/S-TVS
福建海峽-公司網路,mms://dtv.iptv.tw-airnet.net/S-FST
BFM 新聞,mms://vipmms9.yacast.net/bfm_bfmtv
法國 24 hr 新聞,mms://stream1.france24.yacast.net/f24_livefr
菲律賓Net25綜合台,mms://121.96.71.128/net25
法國 勁舞音樂,mms://vipnrj.yacast.net/nrj_webtv02
法國 搖滾音樂,mms://vipnrj.yacast.net/nrj_webtv03
英國 古典流行,mms://mediasrv-sov.musicradio.com/ClassicFMTV
法國 靈魂音樂,mms://vipnrj.yacast.net/nrj_webtv01
深圳電視-公司網路,mms://dtv.iptv.tw-airnet.net/S-204
央視 2 經濟頻道-公司網路,mms://dtv.iptv.tw-airnet.net/S-CCTV2
央視 1 綜合頻道-公司網路,mms://dtv.iptv.tw-airnet.net/S-CCTV1
日本 流行音樂,mms://dca.live.pod.tv/tandm500
美國 ABC 新聞,mms://a1571.l1244139570.c12441.g.lm.akamaistream.net/D/1571/12441/v0001/reflector:39570
學術研究頻道,mms://media-wm.cac.washington.edu/ResearchTV Live (LAN)
河北經濟頻道,mms://mms.hebtv.com/tv2
央視 7 兒童·軍事..-公司網路,mms://dtv.iptv.tw-airnet.net/S-CCTV7
央視 10 科教頻道-公司網路,mms://dtv.iptv.tw-airnet.net/S-CCTV10
央視 11 戲曲頻道-公司網路,mms://dtv.iptv.tw-airnet.net/S-CCTV11
央視 12 社會與法..-公司網路,mms://dtv.iptv.tw-airnet.net/S-CCTV12
央視 音樂頻道-公司網路,mms://dtv.iptv.tw-airnet.net/S-Music
央視 兒童頻道-公司網路,mms://dtv.iptv.tw-airnet.net/S-kids
中央教育台-公司網路,mms://dtv.iptv.tw-airnet.net/S-CETV
人間衛視,mms://wmslive.media.hinet.net/WebLive_BLTV_600
美國動物園 熊貓 2,mms://160.111.253.227/pandacam1
美國動物園 熊貓 1,mms://160.111.253.227/pandacam2
美國動物園 老虎,mms://NZPWMserver1.si.edu/tiger1
美國動物園 大猩猩,mms://NZPWMserver1.si.edu/gorilla
美國動物園 懶熊 2,mms://160.111.143.151/sb2
安道爾ATV電視台,mms://194.158.91.91/atv
澳洲雪梨港灣大橋,mms://strm-wm-03.coastalwatch.com/cstopera_broadband
澳洲墨爾本,mms://strm-wm-03.coastalwatch.com/cstmelbourne_broadband
倫敦特拉法加廣場 ,mms://live.camstreams.com/cscamglobal16
英國泰晤士河倫敦眼,mms://live.camstreams.com/cscamglobal9
倫敦萊斯特廣場,mms://live.camstreams.com/cscamglobal4
南昌第四台,mms://live2.ncnews.com.cn/sjb?userid=guest&token=7b4821c3f9ae818c3964a687a62773a2
阿爾巴尼亞密西根電視台,mms://live.upstreamnetworks.com/19514-47599
美國ACCU氣象台,mms://a238.l5671352237.c56713.g.lm.akamaistream.net/D/238/56713/v0001/reflector:53971
美國東南氣象台,mms://a203.l1291238202.c12912.g.lm.akamaistream.net/D/203/12912/v0001/reflector:38202
法國24新聞台(阿拉伯語字幕),mms://stream1.france24.yacast.net/f24_livefrda
法國24新聞台(法語字幕),mms://stream1.france24.yacast.net/f24_livefr
法國加勒比海台,mms://88.191.74.172/tvcaraibes
德國安特西方新聞台,mms://stream.christo.net/Antennewest
德國卡那爾電視台,mms://stream.multiblog.info/kanaltelemedial
希臘第10頻道,mms://a209.l5823824208.c58238.e.lm.akamaistream.net/D/209/58238/v0001/reflector:24208
荷蘭Graafschap電視台,mms://graafschaptv.streamonline.nl/graafschaptv
哥倫比亞加勒比23頻道,mms://palco1.uac.edu.co/canal23
挪威北歐視野頻道,mms://wm-live.crossnet.net/Visjonnorge
希臘Hellenic新聞台,mms://wms3.visionip.tv/hellenic-1
宏都拉斯JBN電視台,mms://markoni.netpatio.com/jbn/jbntv
捷克METEO氣象台,mms://netshow.atlas.cz/meteotv
蓬萊綜合台-公司網路,mms://dtv.iptv.tw-airnet.net/S-fltv
加拿大CPAC新聞台,mms://206.191.11.112/cpac1eh
南韓MBN頻道,mms://mbnlive.hanafoslive.com/mkimbn200
德國斯圖加廣場,mms://81.169.180.142/Stream-Stuttgart-9F4gS329
義大利CBL娛樂台,mms://151.1.245.71/cblfilm-live
俄羅斯UVCM電視台,mms://media2.uvcm.eu/tv
泰國MVTV頻道,mms://61.19.248.196/mvtv_1?WMContentBitrate=256000
泰國MVTV曼谷台,mms://61.19.248.196/mvtv_bangkok?WMContentBitrate=256000

