民視新聞台-公司網路,mms://dtv.iptv.tw-airnet.net/S-195
民視無線台-公司網路,mms://dtv.iptv.tw-airnet.net/S-FTV
央視 4 國際頻道-公司網路,mms://dtv.iptv.tw-airnet.net/S-196
央視 9 英語頻道-公司網路,mms://dtv.iptv.tw-airnet.net/S-197
央視 戲曲頻道-公司網路,mms://dtv.iptv.tw-airnet.net/S-198
江蘇電視-公司網路,mms://dtv.iptv.tw-airnet.net/S-201
湖南衛視-公司網路,mms://dtv.iptv.tw-airnet.net/S-202
北京電視-公司網路,mms://dtv.iptv.tw-airnet.net/S-199
上海東方衛視-公司網路,mms://dtv.iptv.tw-airnet.net/S-200
廈門衛視-公司網路,mms://dtv.iptv.tw-airnet.net/S-203
廣東南方-公司網路,mms://dtv.iptv.tw-airnet.net/S-TVS
福建海峽-公司網路,mms://dtv.iptv.tw-airnet.net/S-FST
BFM 新聞,mms://vipmms9.yacast.net/bfm_bfmtv
法國 24 hr 新聞,mms://stream1.france24.yacast.net/f24_livefr
菲律賓Net25綜合台,mms://121.96.71.128/net25
法國 勁舞音樂,mms://vipnrj.yacast.net/nrj_webtv02
法國 搖滾音樂,mms://vipnrj.yacast.net/nrj_webtv03
英國 古典流行,mms://mediasrv-sov.musicradio.com/ClassicFMTV
深圳電視-公司網路,mms://dtv.iptv.tw-airnet.net/S-204
央視 2 經濟頻道-公司網路,mms://dtv.iptv.tw-airnet.net/S-CCTV2
央視 1 綜合頻道-公司網路,mms://dtv.iptv.tw-airnet.net/S-CCTV1
日本 流行音樂,mms://dca.live.pod.tv/tandm500
美國 ABC 新聞,mms://a1571.l1244139570.c12441.g.lm.akamaistream.net/D/1571/12441/v0001/reflector:39570
學術研究頻道,mms://media-wm.cac.washington.edu/ResearchTV Live (LAN)
央視 7 兒童·軍事..-公司網路,mms://dtv.iptv.tw-airnet.net/S-CCTV7
央視 10 科教頻道-公司網路,mms://dtv.iptv.tw-airnet.net/S-CCTV10
央視 11 戲劇頻道-公司網路,mms://dtv.iptv.tw-airnet.net/S-CCTV11
央視 12 社會與法..-公司網路,mms://dtv.iptv.tw-airnet.net/S-CCTV12
央視 音樂頻道-公司網路,mms://dtv.iptv.tw-airnet.net/S-Music
央視 兒童頻道-公司網路,mms://dtv.iptv.tw-airnet.net/S-kids
中央教育台-公司網路,mms://dtv.iptv.tw-airnet.net/S-CETV
人間衛視,mms://wmslive.media.hinet.net/WebLive_BLTV_600
美國動物園 熊貓 2,mms://160.111.253.227/pandacam1
大愛電視,mms://dtv.iptv.tw-airnet.net/daai
美國動物園 熊貓 1,mms://160.111.253.227/pandacam2
美國動物園 懶熊 2,mms://160.111.143.151/sb2
安道爾ATV電視台,mms://194.158.91.91/atv
澳洲雪梨港灣大橋,mms://strm-wm-03.coastalwatch.com/cstopera_broadband
倫敦特拉法加廣場 ,mms://live.camstreams.com/cscamglobal16
倫敦萊斯特廣場,mms://live.camstreams.com/cscamglobal4
美國東南氣象台,mms://a203.l1291238202.c12912.g.lm.akamaistream.net/D/203/12912/v0001/reflector:38202
法國24新聞台(阿拉伯語字幕),mms://stream1.france24.yacast.net/f24_livefrda
法國24新聞台(法語字幕),mms://stream1.france24.yacast.net/f24_livefr
希臘Hellenic新聞台,mms://wms3.visionip.tv/hellenic-1
捷克METEO氣象台,mms://netshow.atlas.cz/meteotv
蓬萊綜合台-公司網路,mms://dtv.iptv.tw-airnet.net/S-fltv
加拿大CPAC新聞台,mms://206.191.11.112/cpac1eh
南韓MBN頻道,mms://mbnlive.hanafoslive.com/mkimbn200
德國斯圖加廣場,mms://81.169.180.142/Stream-Stuttgart-9F4gS329
俄羅斯UVCM電視台,mms://media2.uvcm.eu/tv
泰國MVTV頻道,mms://61.19.248.196/mvtv_1?WMContentBitrate=256000
泰國MVTV第8台,mms://61.19.248.196/mvtv_8?WMContentBitrate=256000
泰國MVTV第2台,mms://61.19.248.196/mvtv_2?WMContentBitrate=256000
埃及SA7兒童台,mms://energy10.egihosting.com/859238
土耳其YTV兒童台,mms://canli1.stv.com.tr/yumurcak
南韓C3宗教台,mms://211.63.212.50/live
西班牙INTER財金台,mms://www.intereconomia.com/INTERECONOMIA-TV
美國CBN新聞台,mms://cbn-news.wm.llnwd.net/cbn_news
德國醫療健康台,mms://213.155.73.73/Medizin-tv_Standard_15
葡萄牙Minho頻道,mms://espalhabrasas.sapo.pt/minhoactualtv
葡萄牙RTP頻道,mms://195.245.168.21/rtp/?WMContentBitrate=300000
印度和平宗教台,mms://wms3.visionip.tv/PeaceTV_Medium
斯洛法尼亞PLAY音樂台,mms://93.103.4.16/playtv
泰國ASTV電視台,mms://broadcast.manager.co.th/11news1?wmcontentbitrate=550000
河北經濟頻道,mms://mms.hebtv.com/tv2
河北影視頻道,mms://mms.hebtv.com/tv4
河北少兒頻道,mms://mms.hebtv.com/tv5
河北農民頻道,mms://mms.hebtv.com/tv7
重慶衛視,mms://v1.cbg.cn/cqss
重慶都市頻道,mms://v1.cbg.cn/cqds
重慶國際頻道,mms://v1.cbg.cn/cqgj
重慶科教頻道,mms://v1.cbg.cn/cqkj
廈門第一電視台,mms://mediasrv2.iptv.xmg.com.cn/tvxinwen
