140113701 || 生活 || 2014/01/13 09:53 || 9999 || 192.168.0.200/01NEWS/20140113/s140113701.mp4 || 強烈大陸冷氣團 恐出現10℃低溫 || 大愛新聞 ||
140113702 || 國際 || 2014/01/13 10:18 || 9999 || 192.168.0.200/01NEWS/20140113/s140113702.mp4 || 熱帶氣旋侵襲  東加群島災情慘重 || 大愛新聞 ||
140113703 || 國際 || 2014/01/13 10:26 || 9999 || 192.168.0.200/01NEWS/20140113/s140113703.mp4 || 澳洲熱浪  林火延燒  || 大愛新聞 ||
140113704 || 政治 || 2014/01/13 10:50 || 9999 || 192.168.0.200/01NEWS/20140113/s140113704.mp4 || 桑迪颶風受災戶  愛心泉湧援菲災 || 大愛新聞 ||
140113705 || 國際 || 2014/01/13 11:08 || 9999 || 192.168.0.200/01NEWS/20140113/s140113705.mp4 || 歲末祝福感恩會  居民頂豔陽排隊 || 大愛新聞 ||
140113706 || 國際 || 2014/01/13 11:40 || 9999 || 192.168.0.200/01NEWS/20140113/s140113706.mp4 || 各界聞人愛心宴  見證慈悲的力量 || 大愛新聞 ||
140113707 || 國際 || 2014/01/13 11:53 || 9999 || 192.168.0.200/01NEWS/20140113/s140113707.mp4 || 全神貫注角色中  動靜之間和諧美 || 大愛新聞 ||
140113708 || 志工 || 2014/01/13 12:07 || 9999 || 192.168.0.200/01NEWS/20140113/s140113708.mp4 || 全馬聯愛  廣招菩薩 || 大愛新聞 ||
140113709 || 國際 || 2014/01/13 13:09 || 9999 || 192.168.0.200/01NEWS/20140113/s140113709.mp4 || 新春一條街頭! 關懷華裔弱勢族群 || 大愛新聞 ||
401137010 || 國際 || 2014/01/13 13:34 || 9999 || 192.168.0.200/01NEWS/20140113/s1401137010.mp4 || 小巨人撐起一個家  專精補鞋技藝 || 大愛新聞 ||
401137012 || 國際 || 2014/01/13 14:05 || 9999 || 192.168.0.200/01NEWS/20140113/s1401137012.mp4 || 泰國反政府示威者發起 "封城行動" || 央視新聞 ||
