民視新聞台-公司網路,mms://dtv.iptv.tw-airnet.net/DTV-195
民視新聞台-中華網路,mms://chtdtv.iptv.tw-airnet.net/DTV-195
民視新聞台-金門網路,mms://kmdtv.iptv.tw-airnet.net/DTV-195
民視無線台-公司網路,mms://dtv.iptv.tw-airnet.net/FTV_TW-2008Oct
民視無線台-中華網路,mms://chtdtv.iptv.tw-airnet.net/FTV_TW-2008Oct
民視無線台-金門網路,mms://kmdtv.iptv.tw-airnet.net/FTV_TW-2008Oct
央視 4 國際頻道-公司網路,mms://dtv.iptv.tw-airnet.net/DTV-196
央視 4 國際頻道-中華網路,mms://chtdtv.iptv.tw-airnet.net/DTV-196
央視 4 國際頻道-金門網路,mms://kmdtv.iptv.tw-airnet.net/DTV-196
央視 9 英語頻道-公司網路,mms://dtv.iptv.tw-airnet.net/DTV-197
央視 9 英語頻道-中華網路,mms://chtdtv.iptv.tw-airnet.net/DTV-197
央視 9 英語頻道-金門網路,mms://kmdtv.iptv.tw-airnet.net/DTV-197
央視 戲曲頻道-公司網路,mms://dtv.iptv.tw-airnet.net/DTV-198
央視 戲曲頻道-中華網路,mms://chtdtv.iptv.tw-airnet.net/DTV-198
央視 戲曲頻道-金門網路,mms://kmdtv.iptv.tw-airnet.net/DTV-198
江蘇電視-公司網路,mms://dtv.iptv.tw-airnet.net/DTV-201
江蘇電視-中華網路,mms://chtdtv.iptv.tw-airnet.net/DTV-201
江蘇電視-金門網路,mms://kmdtv.iptv.tw-airnet.net/DTV-201
湖南衛視-公司網路,mms://dtv.iptv.tw-airnet.net/DTV-202
湖南衛視-中華網路,mms://chtdtv.iptv.tw-airnet.net/DTV-202
湖南衛視-金門網路,mms://kmdtv.iptv.tw-airnet.net/DTV-202
北京電視-公司網路,mms://dtv.iptv.tw-airnet.net/DTV-199
北京電視-中華網路,mms://chtdtv.iptv.tw-airnet.net/DTV-199
北京電視-金門網路,mms://kmdtv.iptv.tw-airnet.net/DTV-199
上海東方衛視-公司網路,mms://dtv.iptv.tw-airnet.net/DTV-200
